id	cateId	name	detail	assetURL
34	2	Biển số P.302a "Hướng phải đi vòng chướng ngại vật"	Báo các loại xe (cơ giới và thô sơ) hướng đi vòng sang phải để qua một chướng ngại vật 	assets/images/boards/302a.jpg
35	2	Biển số P.302b "Hướng phải đi vòng chướng ngại vật"	Báo các loại xe (cơ giới và thô sơ) hướng đi vòng sang trái để qua một chướng ngại vật 	assets/images/boards/302b.jpg
36	2	Biển số P.303 "Nơi giao nhau chạy theo vòng xuyến"	Báo cho các loại xe (thô sơ và cơ giới) phải chạy vòng theo đảo an toàn ở nơi đường giao nhau	assets/images/boards/303.jpg
37	2	Biển số P.304 " Đường dành cho xe thô  sơ"	Báo đường dành cho xe thô sơ (kể cả xe của người tàn tật) và người đi bộ.	assets/images/boards/304.jpg
38	2	Biển số P.305 "Đường dành cho người đi bộ"	Báo đường dành cho người đi bộ	assets/images/boards/305.jpg
39	2	Biển số P.306 "Tốc độ tối thiểu cho phép"	Báo tốc độ tối thiểu cho phép các xe cơ giới chạy.	assets/images/boards/306.jpg
40	2	Biển số P.307 "Hết hạn chế tốc độ tối thiểu",	Báo hết đoạn đường hạn chế tốc độ tối thiểu.	assets/images/boards/307.jpg
41	2	Biển số P.308a "Tuyến đường cầu vượt cắt qua"	Biểu thị phía trước có cầu vượt, xe có thể đi thẳng hoặc theo chỉ dẫn trên hình vẽ để rẽ trái	assets/images/boards/308a.jpg
42	2	Biển số P.308b "Tuyến đường cầu vượt cắt qua"	Biểu thị phía trước có cầu vượt, xe có thể đi thẳng hoặc theo chỉ dẫn trên hình vẽ để rẽ phải	assets/images/boards/308b.jpg
43	2	Biển số P.309 "Ấn còi"	Biểu thị xe cộ đi đến vị trí cắm biển đó thì phải ấn còi.	assets/images/boards/309.jpg
44	2	Biển số P.310a " Hướng đi phải theo cho các xe chở hàng nguy hiểm"	Báo cho các loại xe chở hàng nguy hiểm phải đi theo hướng quy định (rẽ trái)	assets/images/boards/310a.jpg
